Appliance,avg,std,col
Toaster ,,,2
Microwave ,,,2
Electric mower ,,,2
Hairdryer ,,,2
Electric drill ,,,2
Vacuum cleaner ,,,2
Dehumidifier ,,,2
Plasma TV ,,,2
Fridge/freezer ,,,2
Towel rail ,,,2
Heating blanket ,,,2
LCD TV ,,,2
Freezer ,,,2
P100 (general),,,2
1080Ti (general),,,2
Games console ,,,2
Desktop computer ,,,2
Fridge ,,,2
"Video, DVD or CD ",,,2
TV box ,,,2
Laptop ,,,2
Extractor fan ,,,2
Tablet (charge) ,,,2
Broadband router ,,,2
Smart phone (charge) ,,,2
1080Ti (LSTM – EN-FR),568.21,66.2921034490289,2
1080Ti (LSTM – EN-ES),563.54,65.8986782566505,2
1080Ti (LSTM – FR-EN),567.39,66.2481826950851,2
1080Ti (LSTM – ES-EN),559.6,65.217814597522,2
1080Ti (TRANS – EN-FR),706.79,57.8363031300435,2
1080Ti (TRANS – EN-ES),706.16,58.021819935197,2
1080Ti (TRANS – FR-EN),706.54,57.8837390236763,2
1080Ti (TRANS – ES-EN),717.9,56.4476379333681,2
P100 (LSTM – EN-FR),345.28,60.263039231575,2
P100 (LSTM – EN-ES),341.98,60.3281083490882,2
P100 (LSTM – FR-EN),341.74,59.7149984935776,2
P100 (LSTM – ES-EN),340.44,59.6281775885109,2
P100 (TRANS – EN-FR),460.42,36.8339215539985,2
P100 (TRANS – EN-ES),456.23,36.9730765287956,2
P100 (TRANS – FR-EN),454.3,38.752660215844,2
P100 (TRANS – ES-EN),454.76,38.0443349309381,2
1080Ti (LSTM – EN-FR Translate),157.72,45.0003592389098,2
1080Ti (LSTM – EN-ES Translate),158.43,44.8692531899941,2
1080Ti (LSTM – FR-EN Translate),154.98,43.1115041308594,2
1080Ti (LSTM – ES-EN Translate),153.43,45.0501543794346,2
1080Ti (TRANS – EN-FR Translate),188.71,45.594847750676,2
1080Ti (TRANS – EN-ES Translate),169.97,42.4950179134318,2
1080Ti (TRANS – FR-EN Translate),193.34,43.1917699739911,2
1080Ti (TRANS – ES-EN Translate),175.58,44.7645046614789,2
P100 (LSTM – EN-FR Translate),90.4961336220229,25.9622498418033,2
P100 (LSTM – EN-ES Translate),89.061551292744,25.7973118563028,2
P100 (LSTM – FR-EN Translate),93.1365436401077,26.5708283274654,2
P100 (LSTM – ES-EN Translate),89.3534827166927,25.8830685970294,2
P100 (TRANS – EN-FR Translate),104.523625023625,28.2977753431768,2
P100 (TRANS – EN-ES Translate),102.706861755802,28.8328693076613,2
P100 (TRANS – FR-EN Translate),100.927855352667,31.8446369625613,2
P100 (TRANS – ES-EN Translate),104.349528795812,29.3982498907096,2
